canciones_id,Artist,Album,Tracks,album_id,Pistas
55,Taylor Swift,Fearless,13,4hDok0OAJd57SGIT8xuWJH,"Fearless (Taylor’s Version), Fifteen (Taylor’s Version), Love Story (Taylor’s Version), Hey Stephen (Taylor’s Version), White Horse (Taylor’s Version), You Belong With Me (Taylor’s Version), Breathe (feat. Colbie Caillat) (Taylor’s Version), Tell Me Why (Taylor’s Version), You’re Not Sorry (Taylor’s Version), The Way I Loved You (Taylor’s Version), Forever & Always (Taylor’s Version), The Best Day (Taylor’s Version), Change (Taylor’s Version), Jump Then Fall (Taylor’s Version), Untouchable (Taylor’s Version), Forever & Always (Piano Version) (Taylor’s Version), Come In With The Rain (Taylor’s Version), Superstar (Taylor’s Version), The Other Side Of The Door (Taylor’s Version), Today Was A Fairytale (Taylor’s Version)"
56,Coldplay,Viva La Vida Or Death And All His Friends,10,1CEODgTmTwLyabvwd7HBty,"Life in Technicolor, Cemeteries of London, Lost!, 42, Lovers in Japan, Yes, Viva La Vida, Violet Hill, Strawberry Swing, Death and All His Friends"
57,Susan Boyle,I Dreamed A Dream,12,2OU9Ot1KmE6qRzVAhiNqkD,"Wild Horses, I Dreamed a Dream, Cry Me a River, How Great Thou Art, You'll See, Daydream Believer, Up to the Mountain, Amazing Grace, Who I Was Born to Be, Proud, The End of the World, Silent Night"
58,Lady Gaga,The Fame Monster,8,6rePArBMb5nLWEaY9aQqL4,"Bad Romance, Alejandro, Monster, Speechless, Dance In The Dark, Telephone, So Happy I Could Die, Teeth, Just Dance, LoveGame, Paparazzi, Poker Face, Eh, Eh (Nothing Else I Can Say), Beautiful, Dirty, Rich, The Fame, Money Honey, Starstruck, Boys Boys Boys, Paper Gangsta, Brown Eyes"
59,Mumford & Sons,Sigh No More,12,4828DYqqXoOl1bMPyh5c3S,"Sigh No More, The Cave, Winter Winds, Roll Away Your Stone, White Blank Page, I Gave You All, Little Lion Man, Timshel, Thistle & Weeds, Awake My Soul, Dust Bowl Dance, After the Storm"
60,Katy Perry,Teenage Dream,12,2eQMC9nJE3f3hCNKlYYHL1,"Teenage Dream, Last Friday Night (T.G.I.F.), California Gurls, Firework, Peacock, Circle The Drain, The One That Got Away, E.T., Who Am I Living For?, Pearl, Hummingbird Heartbeat, Not Like The Movies"
61,Bruno Mars,Doo-Wops & Hooligans,10,1uyf3l2d4XYwiEqAb7t7fX,"Grenade, Just the Way You Are, Our First Time, Runaway Baby, The Lazy Song, Marry You, Talking to the Moon, Liquor Store Blues (feat. Damian Marley), Count on Me, The Other Side (feat. CeeLo Green and B.o.B)"
62,Eminem,Recovery,17,47BiFcV59TQi2s9SkBo2pb,"Cold Wind Blows, Talkin’ 2 Myself, On Fire, Won't Back Down, W.T.P., Going Through Changes, Not Afraid, Seduction, No Love, Space Bound, Cinderella Man, 25 To Life, So Bad, Almost Famous, Love The Way You Lie, You’re Never Over, Untitled"
63,Adele,21,11,0Lg1uZvI312TPqxNWShFXL,"Rolling in the Deep, Rumour Has It, Turning Tables, Don't You Remember, Set Fire to the Rain, He Won't Go, Take It All, I'll Be Waiting, One And Only, Lovesong, Someone Like You"
64,Michael Buble,Christmas,16,3CKVXhODttZebJAzjUs2un,"It's Beginning to Look a Lot like Christmas, Santa Claus Is Coming to Town, Jingle Bells (feat. The Puppini Sisters), White Christmas (with Shania Twain), All I Want for Christmas Is You, Holly Jolly Christmas, Santa Baby, Have Yourself a Merry Little Christmas, Christmas (Baby Please Come Home), Silent Night, Blue Christmas, Cold December Night, I'll Be Home for Christmas, Ave Maria, Mis Deseos / Feliz Navidad (with Thalia), Michael's Christmas Greeting - Hidden Track"
65,Ed Sheeran,Plus,12,02pi98kE0nra0yBqCStzbC,"The A Team, Drunk, U.N.I., Grade 8, Wake Me Up, Small Bump, This, The City, Lego House, You Need Me, I Don't Need You, Kiss Me, Give Me Love, Autumn Leaves - Deluxe Edition, Little Bird - Deluxe Edition, Gold Rush - Deluxe Edition, Sunburn - Deluxe Edition"
66,Imagine Dragons,Night Visions,11,6htgf3qv7vGcsdxLCDxKp8,"Radioactive, Tiptoe, It's Time, Demons, On Top Of The World, Amsterdam, Hear Me, Every Night, Bleeding Out, Underdog, Nothing Left To Say / Rocks, Cha-Ching (Till We Grow Older)"
67,Bruno Mars,Unorthodox Jukebox,10,58ufpQsJ1DS5kq4hhzQDiI,"Young Girls, Locked out of Heaven, Gorilla, Treasure, Moonshine, When I Was Your Man, Natalie, Show Me, Money Make Her Smile, If I Knew"
68,Taylor Swift,Red,16,6kZ42qRrzov54LcAk4onW9,"State Of Grace (Taylor's Version), Red (Taylor's Version), Treacherous (Taylor's Version), I Knew You Were Trouble (Taylor's Version), All Too Well (Taylor's Version), 22 (Taylor's Version), I Almost Do (Taylor's Version), We Are Never Ever Getting Back Together (Taylor's Version), Stay Stay Stay (Taylor's Version), The Last Time (feat. Gary Lightbody of Snow Patrol) (Taylor’s Version), Holy Ground (Taylor's Version), Sad Beautiful Tragic (Taylor's Version), The Lucky One (Taylor's Version), Everything Has Changed (feat. Ed Sheeran) (Taylor’s Version), Starlight (Taylor's Version), Begin Again (Taylor's Version), The Moment I Knew (Taylor's Version), Come Back...Be Here (Taylor's Version), Girl At Home (Taylor's Version), State Of Grace (Acoustic Version) (Taylor's Version)"
